run,pwm,label,wheel,direction,summary_final_ticks,command_ticks,stop_extra_ticks,summary_tick_s,command_tick_s,omega_rad_s_per_cpr_summary,omega_rad_s_per_cpr_command,encoder_sign_observed
1,80,left_forward,left,forward,898,797,101,898.0,797.0,5642.300405847269,5007.69868982213,positive
1,80,right_forward,right,forward,-528,-505,-23,-528.0,-505.0,-3317.5218421908216,-3173.008580125691,negative
1,80,left_reverse,left,reverse,-593,-578,-15,-593.0,-578.0,-3725.9288871574945,-3631.681107549801,negative
1,80,right_reverse,right,reverse,646,617,29,646.0,617.0,4058.9377084380126,3876.7253345298045,positive
2,90,left_forward,left,forward,1302,1158,144,1302.0,1158.0,8180.707269947821,7275.928585713961,positive
2,90,right_forward,right,forward,-762,-723,-39,-762.0,-723.0,-4787.787204070844,-4542.742977090841,negative
2,90,left_reverse,left,reverse,-862,-823,-39,-862.0,-823.0,-5416.105734788804,-5171.061507808799,negative
2,90,right_reverse,right,reverse,872,814,58,872.0,814.0,5478.937587860599,5114.512840044184,positive
3,100,left_forward,left,forward,1496,1329,167,1496.0,1329.0,9399.645219540662,8350.35327324167,positive
3,100,right_forward,right,forward,-989,-928,-61,-989.0,-928.0,-6214.07026880061,-5830.795965062656,negative
3,100,left_reverse,left,reverse,-1210,-1126,-84,-1210.0,-1126.0,-7602.6542216872995,-7074.866655884214,negative
3,100,right_reverse,right,reverse,1122,1037,85,1122.0,1037.0,7049.733914655496,6515.663163545231,positive
4,110,left_forward,left,forward,1811,1605,206,1811.0,1605.0,11378.84859130223,10084.512418023236,positive
4,110,right_forward,right,forward,-1254,-1169,-85,-1254.0,-1169.0,-7879.114375203201,-7345.043624092937,negative
4,110,left_reverse,left,reverse,-1481,-1372,-109,-1481.0,-1372.0,-9305.397439932967,-8620.530241450393,negative
4,110,right_reverse,right,reverse,1356,1243,113,1356.0,1243.0,8519.999276535518,7809.999336824226,positive
5,120,left_forward,left,forward,2103,1851,252,2103.0,1851.0,13213.53870099867,11630.176003589415,positive
5,120,right_forward,right,forward,-1468,-1353,-115,-1468.0,-1353.0,-9223.716030939633,-8501.14972061398,negative
5,120,left_reverse,left,reverse,-1721,-1574,-147,-1721.0,-1574.0,-10813.361913656068,-9889.733673500668,negative
5,120,right_reverse,right,reverse,1591,1452,139,1591.0,1452.0,9996.547823722722,9123.18506602476,positive
6,130,left_forward,left,forward,2376,2091,285,2376.0,2091.0,14928.848289858697,13138.140477312514,positive
6,130,right_forward,right,forward,-1664,-1534,-130,-1664.0,-1534.0,-10455.220351146832,-9638.406261213486,negative
6,130,left_reverse,left,reverse,-1907,-1749,-158,-1907.0,-1749.0,-11982.03438079147,-10989.291102257097,negative
6,130,right_reverse,right,reverse,2244,1940,304,2244.0,1940.0,14099.467829310992,12189.379495928397,positive
7,140,left_forward,left,forward,2588,2297,291,2588.0,2297.0,16260.88357498077,14432.47665059151,positive
7,140,right_forward,right,forward,-1868,-1716,-152,-1868.0,-1716.0,-11736.990153811466,-10781.94598712017,negative
7,140,left_reverse,left,reverse,-2221,-2043,-178,-2221.0,-2043.0,-13954.95456724586,-12836.547582567895,negative
7,140,right_reverse,right,reverse,2126,1911,215,2126.0,1911.0,13358.051963063801,12007.16712202019,positive
8,150,left_forward,left,forward,2896,2544,352,2896.0,2544.0,18196.104649592082,15984.423421464868,positive
8,150,right_forward,right,forward,-2153,-1982,-171,-2153.0,-1982.0,-13527.69796635765,-12453.27327882994,negative
8,150,left_reverse,left,reverse,-2302,-2121,-181,-2302.0,-2121.0,-14463.892577127408,-13326.636036527902,negative
8,150,right_reverse,right,reverse,2840,2463,377,2840.0,2463.0,17844.246272390024,15475.48541158332,positive
9,160,left_forward,left,forward,3146,2768,378,3146.0,2768.0,19766.90097638698,17391.856930273094,positive
9,160,right_forward,right,forward,-2315,-2126,-189,-2315.0,-2126.0,-14545.573986120742,-13358.051963063801,negative
9,160,left_reverse,left,reverse,-2503,-2302,-201,-2503.0,-2302.0,-15726.812823870505,-14463.892577127408,negative
9,160,right_reverse,right,reverse,3085,2698,387,3085.0,2698.0,19383.626672649025,16952.033958770524,positive
10,170,left_forward,left,forward,3409,2990,419,3409.0,2990.0,21419.37871217521,18786.724068466963,positive
10,170,right_forward,right,forward,-2523,-2310,-213,-2523.0,-2310.0,-15852.476530014095,-14514.158059584845,negative
10,170,left_reverse,left,reverse,-2673,-2454,-219,-2673.0,-2454.0,-16794.954326091032,-15418.936743818706,negative
10,170,right_reverse,right,reverse,3342,2908,434,3342.0,2908.0,20998.405296594177,18271.502873278238,positive
11,180,left_forward,left,forward,3586,3149,437,3586.0,3149.0,22531.502511545998,19785.750532308517,positive
11,180,right_forward,right,forward,-2750,-2507,-243,-2750.0,-2507.0,-17278.75959474386,-15751.945565099222,negative
11,180,left_reverse,left,reverse,-2944,-2689,-255,-2944.0,-2689.0,-18497.6975443367,-16895.48529100591,negative
11,180,right_reverse,right,reverse,3086,2775,311,3086.0,2775.0,19389.9098579562,17435.839227423352,positive
